Student_ID,Student_Name,Attendance,Study_Hours_per_Day,Internal_marks,Assignments_Avg,Previous_preformance,Performance
S1148,Ali,82.16,4.36,87.55,79.92,78.8,GOOD
S1149,Liam,94.11,4.02,66.57,56.48,5.1,AVERAGE
S1150,John,70.11,5.94,83.47,86.12,7.6,AVERAGE
S1151,John,53.33,2.16,74.12,80.01,11.9,AT RISK
S1152,Ali,75.8,2.98,60.45,75.35,91.5,GOOD
S1153,John,67.3,3.3,83.55,84.66,6.1,AVERAGE
S1154,Ahmed,83.61,5.3,81.01,72.2,10,AVERAGE
S1155,Sara,97.55,3.08,77.15,76.19,93,GOOD
S1156,Omar,74.28,4.86,77.08,69.92,10.7,AVERAGE
S1157,Sara,73.31,1.78,80.98,85.87,87,GOOD
S1158,Ali,82.73,3.04,63.07,93.83,78.9,GOOD
S1159,Maria,55.17,1.78,92.14,92.04,4,AVERAGE
S1160,Omar,62.68,5.74,49.74,89.3,2.2,AT RISK
S1161,Ali,95.95,1.88,93.03,50.69,53.4,AVERAGE
S1162,Liam,83.5,3.1,60.54,95.59,99.7,GOOD
S1163,Maria,50.67,1.42,47.5,63.74,87.9,AVERAGE
S1164,Sara,60.23,5.6,76,94.4,31,AVERAGE
S1165,Ali,84.14,4.12,62.56,59.85,38.6,AVERAGE
S1166,Liam,88.22,5.82,88.93,71.98,38.8,GOOD
S1167,Omar,91.99,1.22,65.85,87.47,73.4,AVERAGE
S1168,Omar,64.61,1.88,80.11,82.01,34.1,AVERAGE
S1169,Emma,96.55,2.9,58.5,70.8,14.8,AVERAGE
S1170,Liam,77.65,4.1,52.57,83.93,74.7,AVERAGE
S1171,Ahmed,84.83,2.64,63.28,77.45,45.8,AVERAGE
S1172,John,79.84,4.56,76.41,63.79,7.7,AVERAGE
S1173,Maria,56.14,1.82,79.42,82.32,79,AVERAGE
S1174,Liam,98.16,4,74.69,60.21,58.5,AVERAGE
S1175,Emma,56.14,2.98,99.28,84.7,48.9,AVERAGE
S1176,John,62.74,3.54,81.47,50.16,67.3,AVERAGE
S1177,John,90.68,3.84,95.89,77.44,50.5,GOOD
S1178,Ali,80.93,1.3,47.08,70.05,64.8,AVERAGE
S1179,John,91.91,5.62,43.68,65.16,86.7,GOOD
S1180,Ahmed,75.79,4.94,58.66,75.79,61.4,AVERAGE
S1181,Omar,68.85,3.22,48.2,82.27,66,AVERAGE
S1182,Emma,96.09,3.74,71.55,98.27,61.4,GOOD
S1183,John,51.81,1.16,71.14,91.65,53.1,AVERAGE
S1184,Ali,92.81,3.48,74.5,85.86,17.2,AVERAGE
S1185,Ahmed,61.54,3.14,84.71,73.95,33.6,AVERAGE
S1186,Sara,92.44,2.88,98.28,69.61,69.3,GOOD
S1187,Omar,56.96,5.08,92.7,51.63,42.5,AVERAGE
S1188,Omar,79.01,1.9,47.1,67.95,40.6,AVERAGE
S1189,Emma,94.41,1.88,60.31,92.42,75.9,GOOD
S1190,Omar,73.68,3.6,55.35,69.2,0.6,AT RISK
S1191,John,87.33,4.44,50.61,73.08,67.9,AVERAGE
S1192,Ali,90.23,1.12,72.68,63.59,48.9,AVERAGE
S1193,Omar,86.82,3.72,73.2,63.71,37.7,AVERAGE
S1194,Omar,96.27,2.5,53.63,53.09,34.1,AVERAGE
S1195,Sara,72.34,4.78,82.71,80.69,17.3,AVERAGE
S1196,Sara,58.66,3.34,83.97,72.4,33.4,AVERAGE
S1197,Maria,52.39,5.18,41.26,80.3,39.1,AVERAGE
S1198,Ahmed,62.32,2.98,63.75,77.34,43.7,AVERAGE
S1199,John,57.16,5.14,93.41,89.94,67.2,GOOD
S1200,Omar,77.9,4.58,71.22,87.55,45.4,AVERAGE
S1201,Liam,59.25,5.14,60.86,88.57,79.6,AVERAGE
S1202,Omar,51.95,5.06,55.22,74.96,64,AVERAGE
S1203,Ali,51.8,3.44,54.6,67.69,19,AT RISK
S1204,Maria,91.58,2.84,45.99,96.67,27.7,AVERAGE
S1205,Ahmed,79.57,4.82,89.03,52.71,7.9,AVERAGE
S1206,Liam,67.9,2.8,45.2,57.63,94.6,AVERAGE
S1207,Maria,94.71,1.44,57.54,70.98,88.7,AVERAGE
S1208,Emma,53.51,5.3,42.74,80.7,8.5,AT RISK
S1209,Ahmed,99.02,2.98,86.88,50.41,57.4,AVERAGE
S1210,Omar,80.81,1.66,42.36,85.97,96,AVERAGE
S1211,Omar,59.17,4.24,58.5,77.94,74.7,AVERAGE
S1212,Ahmed,83.95,5.44,74.4,74.24,49.2,AVERAGE
S1213,Omar,88.17,5.3,64.57,71.17,24.1,AVERAGE
S1214,John,71.47,3.78,56.94,75.97,27.9,AVERAGE
S1215,Ahmed,93.08,1.44,56.51,58.09,73.6,AVERAGE
S1216,Maria,57.54,4.48,87.87,55.44,78.1,AVERAGE
S1217,Ahmed,63.94,4.04,98.44,64.48,52.9,AVERAGE
S1218,Liam,54.67,2.06,60.88,85.48,12.1,AT RISK
S1219,Omar,60.54,5.5,42.35,79.41,93.4,AVERAGE
S1220,John,61.94,1.44,42.19,74.01,84.5,AVERAGE
S1221,John,95.88,2.86,85.55,78.58,14.1,AVERAGE
S1222,Emma,53.91,1.48,73.14,77.96,5.7,AT RISK
S1223,Maria,71.37,5.56,87.02,65.35,53.6,AVERAGE
S1224,Sara,76.62,1.18,81.85,54.87,28.4,AVERAGE
S1225,Sara,94.93,3.12,94.45,94.84,28.3,AVERAGE
S1226,Ahmed,99.88,5.3,93.15,80,8.7,AVERAGE
S1227,Emma,87.67,2.26,87.3,84.89,95.3,GOOD
S1228,Ali,98.54,1.52,68.51,73.2,83,GOOD
S1229,Ahmed,89.36,1.64,58.49,87.82,11.4,AVERAGE
S1230,Emma,98.16,3.02,70.42,79.22,87.7,GOOD
S1231,Maria,85.36,3.14,70.12,52.69,68.3,AVERAGE
S1232,Maria,53.99,4.6,76.62,94.5,32.5,AVERAGE
S1233,Maria,70.1,2.18,51.17,65.28,87.1,AVERAGE
S1234,Maria,82.33,4.5,79.34,56.89,59.8,AVERAGE
S1235,Maria,67.54,6,67.4,54.4,84.9,GOOD
S1236,Emma,63.67,5.32,77.21,86.02,46.9,AVERAGE
S1237,Emma,78.87,4.18,54.38,85.2,50.1,AVERAGE
S1238,John,96.68,5.7,66.06,85.01,29.1,AVERAGE
S1239,Liam,51.75,5.96,52.61,95.79,38.8,AVERAGE
S1240,Sara,88.46,3.86,92.52,67.45,56.8,GOOD
S1241,Omar,86.14,2.36,69.28,78.06,94.7,GOOD
S1242,Maria,98.2,5.58,53.5,80.97,60,GOOD
S1243,Ali,96.54,5.22,42.47,98.97,14.7,AVERAGE
S1244,Omar,88.11,1.42,80.54,65.62,0.7,AVERAGE
S1245,Emma,76.02,5.68,52.88,97.82,85.1,GOOD
S1246,Ali,60.21,2.84,99.37,57.44,36.4,AVERAGE
S1247,Ali,77.26,2.62,72.02,88.2,31.5,AVERAGE
S1248,Ali,88.27,2.72,57.34,81.64,80.1,AVERAGE
S1249,John,94.78,2.6,79.46,90.84,94.5,GOOD
S1250,Emma,89.49,3.58,56.51,51.43,74.8,AVERAGE
S1251,Ali,59.76,3.9,89.22,53.91,17.4,AVERAGE
S1252,Maria,79.98,3.12,58.49,53.48,39.1,AVERAGE
S1253,Ahmed,66.61,3.06,99.29,79.65,75.9,GOOD
S1254,Ali,50.46,4.68,76.31,80.15,90.7,GOOD
S1255,John,60.01,1.02,90.66,95.31,99.9,GOOD
S1256,Omar,55.66,5.74,44.37,73.38,51.2,AVERAGE
S1257,Emma,92.14,4.58,60.9,53.4,82.3,GOOD
S1258,Liam,62.93,4.54,84.25,60.48,4.7,AVERAGE
S1259,John,64.23,3.1,79.3,50.4,28.6,AVERAGE
S1260,Ali,98,5.82,51.65,88.84,37.2,AVERAGE
S1261,Emma,68.95,1,61.37,90.78,97.6,AVERAGE
S1262,Ahmed,50.48,1.38,55.81,99.9,0.3,AT RISK
S1263,Ali,64.19,5.02,76.8,70.61,30.8,AVERAGE
S1264,John,55.96,4.7,60.67,50.96,93,AVERAGE
S1265,Sara,55.14,2.36,58.54,61.74,30.7,AT RISK
S1266,Maria,53.87,3.98,52.44,79.39,22.5,AT RISK
S1267,Liam,79.66,3.66,64.54,98.1,73,GOOD
S1268,Omar,59.47,3.64,51.73,55.18,74.5,AVERAGE
S1269,John,68.06,3.98,97.75,56.08,47.2,AVERAGE
S1270,Emma,93.1,5.96,49.27,85.09,94.7,GOOD
S1271,Liam,71.22,5.94,94.8,83.36,20.3,AVERAGE
S1272,Liam,95.78,5.9,65.71,62.53,91.3,GOOD
S1273,Liam,74.9,3.74,62.67,90.66,75.6,GOOD
S1274,Ali,69.94,2.6,53.88,56.44,36.8,AT RISK
S1275,Maria,87.52,3.8,78.15,96.29,80.7,GOOD
S1276,Ali,53.66,4.12,81.13,60.05,13.3,AVERAGE
S1277,Emma,54.47,2.56,68.05,54.07,13.1,AT RISK
S1278,Ali,82.6,4.16,43.34,66.98,93,AVERAGE
S1279,Sara,74.35,4.1,95.11,59.39,9.5,AVERAGE
S1280,Maria,89.52,5.52,98.82,76.35,0.4,AVERAGE
S1281,Maria,95.81,2.18,65.86,84.34,38.9,AVERAGE
S1282,Emma,69.42,4.48,76.82,74.55,10.4,AVERAGE
S1283,Omar,79.82,3.26,67.02,83.03,86.3,GOOD
S1284,Sara,75.03,1.64,59.31,68.25,92.3,AVERAGE
S1285,John,99.08,2.58,44.64,51.4,48.2,AVERAGE
S1286,Ali,91.55,1.28,67.36,98.7,42.5,AVERAGE
S1287,Ahmed,95.59,2.6,89.1,90.97,53.9,GOOD
S1288,Ali,62.72,1.34,41.02,53.67,22.6,AT RISK
S1289,Liam,88.63,5.62,74.93,72.46,29.8,AVERAGE
S1290,Ali,63.27,1.5,92.85,81.75,10.1,AVERAGE
S1291,John,60.44,5.08,53.05,59.53,44.6,AVERAGE
S1292,Ali,97.21,5.54,51,78.9,61.2,AVERAGE
S1293,Sara,50.97,3.34,86.34,76.68,93,GOOD
S1294,Sara,98.27,1.26,55.31,60.41,73.9,AVERAGE
S1295,Maria,57.46,3.98,51.52,57.06,72.3,AVERAGE
S1296,Emma,90.97,2.18,62.68,87.95,30.8,AVERAGE
S1297,Omar,63.8,1.88,63.55,66.13,88.8,AVERAGE
S1298,Ahmed,67.54,3.84,92.45,62.2,94.7,GOOD
S1299,Liam,60.84,2.78,77.11,86.89,93.2,GOOD
S1300,Ali,79.28,4.66,64.36,86.8,3.9,AVERAGE
S1301,Ali,67.4,3.96,72.06,63.82,60.4,AVERAGE
S1302,John,82.87,5.14,97.24,93.63,64.3,GOOD
S1303,Emma,50.78,1.3,46.79,84.41,29.5,AT RISK
S1304,Sara,53.22,2.18,52.46,67.29,99.2,AVERAGE
S1305,Ahmed,54.98,3.84,97.75,71.37,29.1,AVERAGE
S1306,Maria,70.95,5.4,97.44,86.34,21.7,AVERAGE
S1307,Sara,90.74,5.06,50.63,60.58,48.4,AVERAGE
S1308,Liam,94.41,4.4,48.71,73.44,32.3,AVERAGE
S1309,Emma,62.24,3.88,65.27,82.68,92.4,GOOD
S1310,Liam,78.72,4.16,42.98,76.97,44,AVERAGE
S1311,Omar,88.42,2.06,79.29,80.42,41,AVERAGE
S1312,Maria,64.44,3.98,44.65,77.31,62.6,AVERAGE
S1313,Omar,70.45,3.46,43.48,59.96,8.1,AT RISK
S1314,John,76.2,2.92,69.11,70.51,75.7,AVERAGE
S1315,Liam,56.74,5.44,97.47,76.6,76.8,GOOD
S1316,John,51.3,5.14,65.61,89,47.4,AVERAGE
S1317,Ali,57.64,1.38,61.39,82.7,95.6,AVERAGE
S1318,Omar,81.34,5.92,99.88,71.33,57.9,GOOD
S1319,Emma,53.68,2.14,71.92,98.72,69.5,AVERAGE
S1320,Liam,59.48,2.08,62.51,55.39,92.4,AVERAGE
S1321,Ahmed,66.89,5.72,63.15,60.34,66.6,AVERAGE
S1322,Maria,53.89,3.22,51.7,67.07,43.2,AVERAGE
S1323,Sara,59.58,5.02,70.73,61.43,2.5,AT RISK
S1324,Emma,95.56,2.44,66.33,81.27,72.8,GOOD
S1325,Emma,50.96,5.36,56.25,51.98,96.5,AVERAGE
S1326,John,82.67,5.16,49.63,58.87,47,AVERAGE
S1327,Omar,69.22,3.6,58.67,64.67,34,AVERAGE
S1328,Liam,83.63,4.52,70.52,84.17,51.9,AVERAGE
S1329,Liam,79.43,5.82,43.5,93.79,72.8,AVERAGE
S1330,Ali,61.17,3.26,49.22,89.92,0.1,AT RISK
S1331,Ali,92.36,3.48,96.86,59.1,88.7,GOOD
S1332,Maria,74.6,4.62,72.57,78.27,88.6,GOOD
S1333,John,91.13,2.94,43.81,51.5,54.1,AVERAGE
S1334,Emma,70.3,5.8,81.59,65.53,12.2,AVERAGE
S1335,Liam,99.23,1.2,43.71,90.3,67.2,AVERAGE
S1336,Ahmed,88.52,3.02,84.33,72.83,13.8,AVERAGE
S1337,John,98.3,4.56,85,57.5,50.8,GOOD
S1338,Maria,75.72,3.14,79.06,71.93,9.4,AVERAGE
S1339,Maria,73.68,2.3,83.93,59.9,58.9,AVERAGE
S1340,John,87.77,3.06,45.28,69.66,31.8,AVERAGE
S1341,Maria,94.01,5.4,83.61,74.39,83.1,GOOD
S1342,John,98.21,3.74,48.2,67.48,80,AVERAGE
S1343,Sara,66.23,2.68,60.37,96.85,99.8,GOOD
S1344,John,89.94,4.36,96.56,78.13,25.8,AVERAGE
S1345,Omar,60.53,4.06,70.17,92.14,6.2,AVERAGE
S1346,John,77.28,3.8,98.05,88.04,44.3,GOOD
S1347,Maria,58.99,2.96,45.34,83.06,8.3,AT RISK
S1348,Liam,67.37,1.36,68.65,74.84,17.8,AT RISK
S1349,Omar,96.57,4.1,43.74,50.11,59.7,AVERAGE
S1350,Maria,57.3,3.1,77.81,80.67,59.2,AVERAGE
S1351,Ali,81.62,3.14,44.72,67.8,4.3,AT RISK
S1352,Ali,79.65,2.18,50.52,55.89,44.3,AVERAGE
S1353,Liam,56.04,2.24,55.53,72.23,53,AVERAGE
S1354,Liam,66.3,4.94,84.92,86.78,26.8,AVERAGE
S1355,Omar,78.15,3.4,49.84,98.08,87.2,GOOD
S1356,Sara,59.36,1.54,90.8,68.71,16.1,AVERAGE
S1357,Liam,90.03,1.22,47.91,77.14,25.4,AVERAGE
S1358,Ali,98.61,2.12,42.11,92.56,15.7,AVERAGE
S1359,John,60.74,3.44,63.7,66.7,11.7,AT RISK
S1360,Maria,59.35,4.08,98.77,57.11,87.9,GOOD
S1361,Ali,72.75,1.72,46.62,64.09,27.8,AT RISK
S1362,Ali,87.39,3.16,46.1,94.96,72.3,AVERAGE
S1363,Sara,64.08,1.36,85.07,57.97,42.8,AVERAGE
S1364,Omar,50.99,1.18,58.73,66.46,63.6,AVERAGE
S1365,Omar,77.06,5.32,83.04,73.23,92.8,GOOD
S1366,Emma,97.83,4.3,52,92.36,84.5,GOOD
S1367,Sara,69.56,4.9,67.6,96.89,6.9,AVERAGE
S1368,John,71.01,1.9,55.92,71.29,84.5,AVERAGE
S1369,Omar,98.45,2.62,67.09,96.6,45.2,AVERAGE
S1370,Maria,84.73,3.22,86.15,58.07,35,AVERAGE
S1371,Liam,85.96,4.3,85.72,57.84,67.2,GOOD
S1372,Sara,78.14,3.68,70.95,97.46,95,GOOD
S1373,Liam,98.73,3.76,95.7,75.48,9.4,AVERAGE
S1374,Ali,84.44,1.78,55.83,59.3,76.8,AVERAGE
S1375,Maria,94.75,3.38,54.42,74.4,20.4,AVERAGE
S1376,Maria,84.97,5.12,76.83,89.16,38,AVERAGE
S1377,Ali,86.76,3.54,77.28,91.35,87.4,GOOD
S1378,Sara,64.52,2,42.79,93.2,54.6,AVERAGE
S1379,Ali,65.17,3.06,76.47,78.48,6.7,AVERAGE
S1380,Liam,89.15,4.78,62.47,93.35,50.8,AVERAGE
S1381,Emma,64.84,1.68,84.85,75.5,79,AVERAGE
S1382,Maria,78.14,3.9,88.49,80.35,52.9,GOOD
S1383,Ahmed,62.47,5.82,73.13,87.94,16.7,AVERAGE
S1384,Ahmed,90.85,2.9,40.1,71.27,44.5,AVERAGE
S1385,Liam,55.53,1.22,78.18,53.68,92.4,AVERAGE
S1386,John,91.47,4.16,84.93,67.51,65.8,GOOD
S1387,Omar,80.14,1.24,54.94,81.2,73,AVERAGE
S1388,Ali,59.35,1.96,67.88,59.62,78.6,AVERAGE
S1389,Ali,77.1,1.24,97.94,57.42,9.1,AVERAGE
S1390,John,64.12,1.86,57.89,64.65,58.2,AVERAGE
S1391,John,66.17,5.28,53.39,51.61,37.6,AVERAGE
S1392,Liam,67.58,4.68,52.65,87.17,13.9,AVERAGE
S1393,Liam,53.17,2.7,73.53,62.94,20.3,AT RISK
S1394,John,99.3,5.48,96.99,56.21,78.1,GOOD
S1395,Maria,51.58,4.32,76.52,84.96,16.1,AVERAGE
S1396,Liam,83.12,3.24,58.2,92.15,31.2,AVERAGE
S1397,Emma,68.56,1.34,78.31,50.99,28.5,AVERAGE
S1398,Liam,82.3,4.66,77.49,61.68,4.9,AVERAGE
S1399,Ali,67.81,2.88,75.82,97.26,46.2,AVERAGE
S1400,Liam,83.69,2.52,49.57,69.26,76.6,AVERAGE
S1401,Maria,86.46,2.44,78.07,96.93,2.2,AVERAGE
S1402,John,84.53,1.04,65.81,63.71,11.3,AT RISK
S1403,Ali,55.7,4.72,41.12,60.9,72,AVERAGE
S1404,Liam,82.84,1.72,72.39,60.71,59.4,AVERAGE
S1405,Maria,64,3.6,99.36,54.26,71.5,GOOD
S1406,Emma,51.44,1.08,60.98,94.82,23,AT RISK
