Student_ID,Student_Name,Attendance,Study_Hours_per_Day,Internal_marks,Assignments_Avg,Previous_preformance,Performance
S1057,Bhavya,78.52,3.69,66.29,78.62,45.56,AVERAGE
S1058,Kishore,90.41,2.78,91.92,52.13,20.16,AVERAGE
S1059,Ganesh,94.34,1.9,89.25,58.36,11.07,AVERAGE
S1060,Surya,81.76,5.13,84.69,71.98,83.58,GOOD
S1061,Kishore,70.16,1.03,40.44,92.91,32.82,AVERAGE
S1062,Nandini,57.73,5.44,91.94,87.81,76.62,GOOD
S1063,Yogesh,70.07,2.31,63.79,58.12,62.74,AVERAGE
S1064,Pranav,66.62,2.2,83.9,81.31,28.35,AVERAGE
S1065,Lakshmi,93.5,1.04,83.62,40.1,85.07,GOOD
S1066,Shankar,74.34,2.8,50.65,59.96,84.49,AVERAGE
S1067,Naveen,61.31,1.44,70.92,90.38,17.18,AVERAGE
S1068,Aman,64.44,1.92,95.57,49.07,12.17,AVERAGE
S1069,Rohan,56.82,4.44,55.78,61.2,60.05,AVERAGE
S1070,Muthu,95.93,3.08,82.9,40.06,23.34,AVERAGE
S1071,Deepika,52.52,1.05,97.48,41.39,33.22,AVERAGE
S1072,Rohan,50.64,2.58,61.64,48.76,93.67,AVERAGE
S1073,Aryan,59.15,1.03,63.26,46.11,17.56,AT RISK
S1074,Ganesh,90.54,5.58,67.15,69.38,47.05,GOOD
S1075,Sakshi,76.17,5.3,88.54,94,29.49,GOOD
S1076,Manish,81.29,2.77,66.36,45.08,34.79,AVERAGE
S1077,Divya,67.89,2.2,69.17,92.19,37.01,AVERAGE
S1078,Vedant,53.43,1.53,53.34,80.09,26,AVERAGE
S1079,Charan,92.81,4.53,99.3,50.13,76.35,GOOD
S1080,Vasanth,59.59,1.6,93.54,57.38,81.19,AVERAGE
S1081,Rahul,51.65,4.35,76.02,51.65,53.95,AVERAGE
S1082,Chetan,78.64,2.29,97.63,87.36,89.93,GOOD
S1083,Preethi,54.16,4.65,81.22,83.51,13.67,AVERAGE
S1084,Anjali,54.79,2.97,97.55,58.26,50.66,AVERAGE
S1085,Hari,90.02,1.68,49.69,43.26,82.84,AVERAGE
S1086,Ananya,74.58,2.39,53.53,50.12,62.09,AVERAGE
S1087,Krishna,62.08,4.45,93.11,77.79,98.5,GOOD
S1088,Mahesh,67.43,4.43,65.19,45.42,59.57,AVERAGE
S1089,Preethi,86.46,3.99,62.27,72.19,96,GOOD
S1090,Rahul,53.32,2.62,85.26,76.78,9.87,AVERAGE
S1091,Nithin,55.82,4.18,77.82,81.27,4.26,AVERAGE
S1092,Rajesh,80.81,1.21,60.64,47.52,35.65,AVERAGE
S1093,Neha,80.35,4.02,63.87,67.58,84.13,GOOD
S1094,Sanjana,98.62,4.91,64.5,67.8,5.05,AVERAGE
S1095,Karthik,68.73,1.69,47.58,90.12,25.23,AVERAGE
S1096,Gaurav,53.25,5.08,53.77,68.12,98.5,AVERAGE
S1097,Ganesh,76.88,5.53,72.25,64.41,64.1,GOOD
S1098,Anirudh,81.92,5.8,86.91,47.41,39.31,GOOD
S1099,Ashwin,56.98,1.15,65.14,81.67,7.79,AVERAGE
S1100,Preethi,77.64,5.48,63,77.19,75.52,GOOD
S1101,Dev,59.89,1.32,79.03,83.02,92.53,GOOD
S1102,Nithin,92.24,2.9,49.44,79.38,74.15,AVERAGE
S1103,Aarav,91.76,3.74,62.85,92.52,11.64,AVERAGE
S1104,Muthu,71.48,2.11,52.49,92.64,53.19,AVERAGE
S1105,Monisha,98.34,2.72,79.1,58.46,40.28,GOOD
S1106,Monisha,98.99,5.54,46.74,50.94,90.4,GOOD
S1107,Charan,56.46,1.88,66.87,95.59,76.23,AVERAGE
S1108,Sakshi,68.39,3.69,75.77,82.78,80.2,GOOD
S1109,Hari,80.02,5.13,90.02,98.26,41.37,GOOD
S1110,Jatin,54.24,2.21,83.47,69.82,2.49,AVERAGE
S1111,Monisha,69.13,5.68,96.57,97.73,75.94,EXCELLENT
S1112,Varun,63.06,5.9,80.79,47.36,63.33,AVERAGE
S1113,Riya,97.6,2.33,60.95,75.42,14.15,AVERAGE
S1114,Shreya,70.58,3.37,53.9,69.8,75.68,AVERAGE
S1115,Vedant,88.13,1.06,43.39,40.16,14.93,AT RISK
S1116,Abhinav,69.34,5.8,56.66,51.57,73.97,AVERAGE
S1117,Ashwin,56.59,1.69,48.21,49.21,71.36,AVERAGE
S1118,Harish,93.16,3.14,62.15,43.65,0.75,AVERAGE
S1119,Arnav,50.02,4.36,82.15,96.89,77.48,GOOD
S1120,Rahul,52.8,4.25,81.52,97.92,40.77,GOOD
S1121,Charan,68.22,4.26,59.09,93.5,50.66,AVERAGE
S1122,Bharath,84.34,1.09,70.51,99.33,96.47,GOOD
S1123,Sakshi,67.09,4.67,53.01,89.84,91.98,GOOD
S1124,Ramya,53.32,4.73,70.18,95.93,38.27,AVERAGE
S1125,Vedant,65.89,3.73,70.6,51.86,70.96,AVERAGE
S1126,Aman,62.25,4.66,58.08,55.41,51.31,AVERAGE
S1127,Mahesh,50.27,1,55.57,91.72,82.22,AVERAGE
S1128,Vignesh,76.74,1.83,98.77,68.77,31.97,GOOD
S1129,Anirudh,55.83,1.37,72.23,83.02,47.09,AVERAGE
S1130,Vedant,64.37,2.56,73.72,73.71,11.24,AVERAGE
S1131,Varun,82.06,2.02,40.47,58.34,92.67,AVERAGE
S1132,Ananya,86.26,1.93,50.91,57.09,90.07,AVERAGE
S1133,Varun,63.17,3.1,61.4,84.89,27.61,AVERAGE
S1134,Muthu,66.46,4.12,97.96,71.93,58.3,GOOD
S1135,Keerthi,62.35,3.72,50.51,61.56,37.84,AVERAGE
S1136,Yash,97.84,5.18,58.2,77.02,15.58,AVERAGE
S1137,Abhinav,59.53,2.97,99.41,65.2,4.5,AVERAGE
S1138,Meera,59.16,3.04,68.87,68.5,82.28,AVERAGE
S1139,Rahul,72.25,1.05,59.1,80.67,28.91,AVERAGE
S1140,Darshan,59.47,4.8,78.06,67.48,51.54,AVERAGE
S1141,Dhanush,57.84,4.01,69.78,97,90.27,GOOD
S1142,Jatin,54.79,1.63,97.45,69.11,1.99,AVERAGE
S1143,Pooja,82.01,1.96,44.99,97.71,54.74,AVERAGE
S1144,Gayathri,80.6,1.86,87.43,90.86,95.55,GOOD
S1145,Ramya,82.51,3.04,56.75,93.46,80.93,GOOD
S1146,Abhinav,88.67,1.19,88.4,85.8,21.93,GOOD
S1147,Gaurav,66.32,4.89,90.86,76.27,20.09,GOOD
S1148,Pradeep,95.92,2.59,90.95,71.96,76.25,GOOD
S1149,Akash,86.66,5.59,92,73.1,7.97,GOOD
S1150,Ramya,90.24,2.36,83.09,52.09,59.94,GOOD
S1151,Karthik,86.05,2.83,48.54,52.86,23.41,AVERAGE
S1152,Shivani,67.92,5.6,43.11,42.05,83.93,AVERAGE
S1153,Kavya,64.15,1.84,60.45,84.73,37.94,AVERAGE
S1154,Rahul,71.13,5.23,69.7,47.49,41.5,AVERAGE
S1155,Charan,54.85,1.76,58.16,74.93,79.44,AVERAGE
S1156,Aryan,72.56,3.48,84.53,48.28,8.81,AVERAGE
S1157,Varun,52.16,5.37,83.35,43.99,60.1,AVERAGE
S1158,Shreya,50.2,1.8,98.32,72.02,96.26,GOOD
S1159,Monisha,96.57,1.19,64.03,92.39,65.04,GOOD
S1160,Gayathri,84.47,2.2,87.14,61.36,8.18,AVERAGE
S1161,Charan,78.09,2.31,84.47,95.15,90.85,GOOD
S1162,Pooja,67.06,3.04,99.32,40.62,12.89,AVERAGE
S1163,Pooja,78.53,4.72,86.42,67.94,36.88,GOOD
S1164,Pranav,94.58,1.24,57.01,48.81,18.17,AVERAGE
S1165,Pavithra,82.62,3.86,40.92,58.95,72.19,AVERAGE
S1166,Lakshmi,80.12,4.63,98.09,41.42,26.49,AVERAGE
S1167,Chetan,73.01,5.04,82.96,42.12,26.11,AVERAGE
S1168,Manish,67.28,5.83,88.76,82.77,41.36,GOOD
S1169,Aarohi,84.93,5.13,87.59,79.27,28.61,GOOD
S1170,Arjun,99.05,1.52,84.15,52.5,78.46,GOOD
S1171,Ananya,71.24,1.88,85.09,94.07,52.67,GOOD
S1172,Malar,69.61,4.6,95.77,81.28,55.59,GOOD
S1173,Jeeva,71.41,2.06,94.85,60.17,16.16,AVERAGE
S1174,Harini,71.28,2.24,62.75,64.46,91.35,AVERAGE
S1175,Rohan,99.53,5.25,41.86,57.55,34.89,AVERAGE
S1176,Janani,85.34,3.31,42.32,89.84,37.74,AVERAGE
S1177,Chetan,67.96,2.98,66.8,69.64,24.24,AVERAGE
S1178,Shankar,68.58,3.35,90.1,48.12,96.02,GOOD
S1179,Shreya,71.54,2.28,90.86,52.1,60.71,AVERAGE
S1180,Varsha,51.84,1.44,64.26,57.79,6.1,AT RISK
S1181,Bhavya,76.39,5.89,58.1,64.19,19.26,AVERAGE
S1182,Sanjay,90.57,2.46,70.4,75.56,48.04,GOOD
S1183,Harini,83.03,3.56,89.95,97.85,18.79,GOOD
S1184,Sanjay,59.92,1.29,78.19,55.72,60.5,AVERAGE
S1185,Rakesh,86.4,1.75,48.39,59.7,30.79,AVERAGE
S1186,Chetan,85.97,1.51,61.73,41.44,34.96,AVERAGE
S1187,Neha,63.13,1.26,73.33,62.35,78.67,AVERAGE
S1188,Gaurav,81.14,4.25,72.3,80.5,52.44,GOOD
S1189,Keerthi,80.55,1.08,89.84,97.78,11.3,GOOD
S1190,Ganesh,91.99,3.28,95.93,84.41,37.19,GOOD
S1191,Anirudh,56.8,4.32,46.03,47.08,89.63,AVERAGE
S1192,Yash,59.74,2.82,53.46,93.4,84.62,AVERAGE
S1193,Nandini,74.3,1.75,63.53,90.32,75.98,GOOD
S1194,Vidya,52.21,2.12,57.78,51.34,84.35,AVERAGE
S1195,Amrita,70.78,1.77,64.5,96.06,9.15,AVERAGE
S1196,Meera,89.41,2.48,42.44,82.85,12.22,AVERAGE
S1197,Arnav,57.44,2.78,43.96,86.97,1.86,AT RISK
S1198,Manish,73,2.98,90.3,67.55,12.5,AVERAGE
S1199,Yogesh,99.49,2.12,46.15,52.04,82.35,AVERAGE
S1200,Nandini,75.3,2.17,89.44,87.95,3.79,AVERAGE
S1201,Shankar,74.92,4.2,58.39,68.65,46.52,AVERAGE
S1202,Sanjay,77.94,1.12,58.55,98.05,24.71,AVERAGE
S1203,Harini,59.3,3.21,46.04,49.2,83.25,AVERAGE
S1204,Riya,57.36,5.65,40.8,61.32,80.29,AVERAGE
S1205,Isha,83.87,4.81,61.32,84.13,76.6,GOOD
S1206,Mahesh,69.79,2.66,90.12,74.34,37.83,AVERAGE
S1207,Yogesh,64.5,3.74,95.2,66,92.56,GOOD
S1208,Isha,51.57,5.91,43.7,82.1,89.59,AVERAGE
S1209,Malar,92.3,4.58,41.85,84,65.08,AVERAGE
S1210,Isha,51.62,3.95,49.53,74.64,61.26,AVERAGE
S1211,Janani,87.5,3.8,85.98,59.15,33.69,GOOD
S1212,Monisha,69.1,5.47,52.29,77.13,73.59,AVERAGE
S1213,Rakesh,79.93,1.97,53.85,72.71,93.85,AVERAGE
S1214,Kavin,62.38,3.89,93.34,87.86,31.62,GOOD
S1215,Jatin,57.77,2.75,92.5,79.21,28.59,AVERAGE
S1216,Aman,76.67,3.34,80.22,69.81,26.36,AVERAGE
S1217,Ananya,84.78,1.2,49.84,41.12,98.32,AVERAGE
S1218,Rakesh,59.77,4.97,62.87,50.02,54.03,AVERAGE
S1219,Shankar,71.82,1.92,54.17,60.2,96.76,AVERAGE
S1220,Aryan,72.23,3.81,80.31,76.08,61.74,GOOD
S1221,Riya,60.8,5.62,86.8,87.54,29.35,GOOD
S1222,Hari,78.25,2.29,48.53,97.6,58.64,AVERAGE
S1223,Diya,57.3,2.64,93.88,75.99,15.54,AVERAGE
S1224,Jeeva,75.49,3.03,67.77,83.73,44.81,AVERAGE
S1225,Keerthi,55.67,3.72,87.7,77.29,44.29,AVERAGE
S1226,Nithin,74.28,2.15,43.1,65.82,57.65,AVERAGE
S1227,Vignesh,65.58,4.69,61.63,76.58,38.72,AVERAGE
S1228,Tanvi,72.61,4.15,40.89,64.04,45.51,AVERAGE
S1229,Deepak,71.69,1.47,83.11,67.22,87.62,GOOD
S1230,Rohan,95.4,3.55,44.77,94.66,18.04,AVERAGE
S1231,Ramya,74.5,2.8,60.3,73.83,92.26,AVERAGE
S1232,Aadhya,90.92,2.75,86.9,46.02,53.85,GOOD
S1233,Madhavan,61.28,5.92,84.94,71.43,62.89,GOOD
S1234,Sanjay,67.6,3.03,78.42,97.2,10.43,AVERAGE
S1235,Janani,53.75,1.12,81.64,46,14.53,AVERAGE
S1236,Charan,71.04,2.77,79.07,98.27,73.26,GOOD
S1237,Rahul,83.43,4,78.48,99.26,90.07,GOOD
S1238,Keerthi,91.91,3.64,60.98,73.64,51.89,AVERAGE
S1239,Anjali,78.3,1.39,41.69,59.95,16.75,AT RISK
S1240,Avinash,82,1.84,66.51,40.52,79.69,AVERAGE
S1241,Vijay,58.86,4.85,42.73,40.93,91.75,AVERAGE
S1242,Ananya,51.86,1.04,68.13,63.29,67.02,AVERAGE
S1243,Aishwarya,89.58,2.15,67.84,86.98,18.29,AVERAGE
S1244,Anjali,58.35,5.9,50.72,96.54,41.25,AVERAGE
S1245,Amrita,54.56,4.28,87.06,49.29,93.98,GOOD
S1246,Madhavan,96.88,2.23,82.25,69.27,19.16,AVERAGE
S1247,Pranav,98.18,1.97,73.57,70.1,17.08,AVERAGE
S1248,Monisha,80.81,3.08,95.55,62.82,70.18,GOOD
S1249,Aditya,68.93,4.23,57.23,72.4,54.31,AVERAGE
S1250,Deepak,91.66,1.86,55.72,95.5,20.47,AVERAGE
S1251,Sanjay,60.24,4.74,51.01,66.31,61.65,AVERAGE
S1252,Deepika,71.47,1.21,72.67,48.27,93.67,AVERAGE
S1253,Lakshmi,67.85,1.97,52.32,79.93,85.52,AVERAGE
S1254,Charan,95.63,3.95,92.13,41.88,0.65,AVERAGE
S1255,Avinash,95.99,4.53,58.26,96.41,87.68,GOOD
S1256,Dharani,82.54,4.36,69.46,96.39,62.69,GOOD
S1257,Arjun,55.54,2.31,71.77,45.53,26.71,AVERAGE
S1258,Deepak,74.11,2.93,58.46,73.05,9.34,AVERAGE
S1259,Vijay,62.27,1.19,84.31,87.84,97.12,GOOD
S1260,Muthu,94.25,1,81.52,67.87,2.9,AVERAGE
S1261,Deepak,56.92,3.08,85.65,68.73,18.46,AVERAGE
S1262,Kavya,52.72,3.72,76.36,98.21,67.12,GOOD
S1263,Surya,85.22,5.11,67.61,53.83,75.79,GOOD
S1264,Darshan,72.66,5.81,66.94,71.58,26.67,AVERAGE
S1265,Vijay,91.92,4,82.99,46.9,73.71,GOOD
S1266,Rakesh,53.73,5.08,62.62,58.15,76.52,AVERAGE
S1267,Meera,90.05,1.65,66.24,91.05,80.27,GOOD
S1268,Zoya,51.87,5.08,49.82,82.99,75.39,AVERAGE
S1269,Vikram,51.4,2.27,80.78,76.72,3.27,AVERAGE
S1270,Kavya,73.07,3.05,44.62,46.83,89.23,AVERAGE
S1271,Aarohi,61.06,1.11,99.43,91.04,56.28,GOOD
S1272,Bhavya,79.69,3.34,48.62,57.89,43.1,AVERAGE
S1273,Vidya,51.29,4.26,62.98,72.1,2.44,AVERAGE
S1274,Pranav,51.77,2.26,54.27,54.01,59.08,AVERAGE
S1275,Sameer,86.36,5.04,57.44,71.24,16.28,AVERAGE
S1276,Rohan,60.51,5.63,59.35,73.73,54.77,AVERAGE
S1277,Monisha,82.82,3.85,83.1,60.43,18.92,AVERAGE
S1278,Akshara,87.5,2.22,50.6,70.36,68.79,AVERAGE
S1279,Amrita,52.97,4.53,55.83,64.36,8.88,AVERAGE
S1280,Jatin,88.49,2.47,46.07,81.85,60.04,AVERAGE
S1281,Sameer,63.42,1.81,59.89,72.63,64.38,AVERAGE
S1282,Dharani,69.48,2.43,96.47,92.68,39.52,GOOD
S1283,Sanjay,54.33,3.2,62.81,42.98,91.72,AVERAGE
S1284,Rakesh,91.93,2.13,86.64,41.6,52.65,AVERAGE
S1285,Varsha,78.04,2.69,67.7,51.31,75.05,AVERAGE
S1286,Chetan,75.23,2.98,66.98,47.11,44.45,AVERAGE
S1287,Vignesh,98.43,4.77,89.44,71.55,79.17,EXCELLENT
S1288,Tanvi,66.73,5.29,41.61,52.01,89.74,AVERAGE
S1289,Sakshi,94.54,5.12,91.89,40.96,41.3,GOOD
S1290,Nithin,85.98,1.97,69.11,56.96,96.74,GOOD
S1291,Isha,96.43,5.05,61.07,70.55,15.31,AVERAGE
S1292,Vidya,95.39,4.2,94.41,82.86,84.62,EXCELLENT
S1293,Manish,99.55,2.19,60.39,66.3,52.58,AVERAGE
S1294,Tanvi,56.58,2.88,98.66,97.76,13.84,GOOD
S1295,Srinivas,89.8,2.73,96.18,51.97,62.53,GOOD
S1296,Rajesh,90.22,3.18,56.08,70.84,13.13,AVERAGE
S1297,Rahul,82.22,5.22,60.44,55.19,88.75,GOOD
S1298,Karthik,63.94,3.06,88.73,88.4,81.6,GOOD
S1299,Aarohi,98.26,1.27,51.74,51.27,65.43,AVERAGE
S1300,Nandini,60.22,4.69,83.92,97.7,23.3,GOOD
S1301,Pradeep,74.98,4.94,47.75,83,96.28,GOOD
S1302,Aarav,76.07,3.86,52.34,73.41,85.32,AVERAGE
S1303,Sanjana,58.09,3.38,70.03,71.94,71.52,AVERAGE
S1304,Tanvi,86.13,4.86,84.75,61.75,36.54,GOOD
S1305,Avinash,54.44,1.11,84.37,41.26,48.42,AVERAGE
S1306,Keerthi,84.65,3.92,76.54,94.91,33.81,GOOD
S1307,Varun,92.43,5.76,56.33,87.7,84.94,GOOD
S1308,Krishna,67.47,4.97,64.92,48.09,30.89,AVERAGE
S1309,Arjun,85.47,2.38,54.77,47.32,23.83,AVERAGE
S1310,Charan,57.84,5.59,56.62,58.49,21.43,AVERAGE
S1311,Dharani,92.3,2.01,59.39,85.79,40.12,AVERAGE
S1312,Arnav,97.6,3.73,75.93,70.19,62.3,GOOD
S1313,Karthik,57.63,4.12,52.46,79.25,83.16,AVERAGE
S1314,Harish,84.59,1.17,42.55,40.37,92.47,AVERAGE
S1315,Bharath,75.29,1.64,81.55,95.42,8.01,AVERAGE
S1316,Kavin,76.57,3.72,41.31,49.94,4.72,AT RISK
S1317,Jeeva,85.32,1.9,98.25,59.13,36.27,GOOD
S1318,Varsha,74.44,3.1,61.02,96.83,81.01,GOOD
S1319,Mahesh,80.02,4.53,40.39,83.97,90.74,GOOD
S1320,Lakshmi,61.55,4.13,93.08,70.66,16.85,AVERAGE
S1321,Arjun,68.93,5.37,75.99,91.77,28.58,GOOD
S1322,Zoya,93.26,5.61,89.04,43.68,90.2,GOOD
S1323,Shivani,55.5,5.63,66.1,44.58,57.58,AVERAGE
S1324,Anusha,79.88,2.96,61.25,49.31,40.77,AVERAGE
S1325,Gaurav,59.21,1.61,79.31,55.87,24.35,AVERAGE
S1326,Gaurav,92.33,4.34,64.36,82.54,11.29,AVERAGE
S1327,Abhinav,78.95,5.6,73.37,71.95,10.84,AVERAGE
S1328,Avinash,70.15,4.85,56.67,65.56,67.41,AVERAGE
S1329,Varun,62.49,4.49,59.96,86.96,72.04,AVERAGE
S1330,Tanvi,71.84,5.01,44.93,59.03,36.57,AVERAGE
S1331,Naveen,97.88,3.05,86.88,45.13,60.6,GOOD
S1332,Keerthi,75.46,3.51,60.93,63.81,15.6,AVERAGE
S1333,Pradeep,73.47,2,98.5,85.98,2.1,AVERAGE
S1334,Rohan,87.31,4.36,55.59,68.45,9.98,AVERAGE
S1335,Nithin,68.95,2.74,68.5,98.63,10.59,AVERAGE
S1336,Yogesh,71.37,2.34,58.33,91.37,98.48,GOOD
S1337,Krishna,66.85,2.25,81.64,87.46,23.6,AVERAGE
S1338,Diya,57.55,3.55,88.5,86.39,13.41,AVERAGE
S1339,Vidya,85.69,3.7,69.22,74.87,79.54,GOOD
S1340,Anirudh,93.65,5.13,62.02,94.07,36.67,GOOD
S1341,Kavya,95.28,5.58,84.69,75.39,20.63,GOOD
S1342,Anjali,94.04,2.55,51.49,62.35,22.04,AVERAGE
S1343,Sneha,72.59,2.66,75.97,51.75,13.9,AVERAGE
S1344,Shankar,64.2,2.41,84.02,88.79,7.99,AVERAGE
S1345,Ishaan,81.9,2.51,56.16,62.27,68.01,AVERAGE
S1346,Gayathri,97.74,4.64,79.34,87.45,44,GOOD
S1347,Varsha,86.35,4.15,84.11,98.98,14.84,GOOD
S1348,Deepika,74.74,1.39,47.04,63.92,79.24,AVERAGE
S1349,Chetan,84.44,3.86,59.43,60.44,1.91,AVERAGE
S1350,Swathi,88.63,5.24,64.38,50.21,43.06,AVERAGE
S1351,Aditya,95.96,1.3,86.56,68.52,12.73,AVERAGE
S1352,Kavya,88.16,5.53,74.05,79.24,2.78,AVERAGE
S1353,Rahul,71.66,2.28,66.97,58.77,55.07,AVERAGE
S1354,Yogesh,63.68,2.64,59.13,69.14,15.54,AVERAGE
S1355,Gayathri,74.99,3,40.24,72.22,6.85,AVERAGE
S1356,Bhavya,66.41,1.71,41.21,56.51,47.88,AVERAGE
S1357,Sanjana,97.14,1.49,54.43,41.41,84.36,AVERAGE
S1358,Ananya,75.4,2.2,47,52.94,48.56,AVERAGE
S1359,Kishore,73.6,1.03,47.18,88.19,7.97,AVERAGE
S1360,Rajesh,67.41,3.89,76.16,56.68,30.44,AVERAGE
S1361,Sanjana,81.97,1.67,76.33,40.83,44.61,AVERAGE
S1362,Divya,76,1.47,42.69,65.5,28.12,AVERAGE
S1363,Sanjana,56.45,3.82,75.64,80.95,33.75,AVERAGE
S1364,Arnav,93.46,3.96,48.75,85.14,50.02,AVERAGE
S1365,Sneha,67.95,4.3,62.63,64.83,94.25,GOOD
S1366,Rohan,71.63,3.52,99.38,74.31,80.48,GOOD
S1367,Krishna,60.28,5.42,71.32,84.73,20.44,AVERAGE
S1368,Aarohi,77.67,1.62,42.05,93.35,78.53,AVERAGE
S1369,Malar,85.1,4.93,60.86,78.39,39.45,AVERAGE
S1370,Manish,94.06,3.06,80.25,81.45,81.57,GOOD
S1371,Charan,52.58,5.52,53.48,45.92,61.71,AVERAGE
S1372,Pranav,98.67,2.17,97.87,65.23,67.9,GOOD
S1373,Naveen,85.19,5.74,65.52,93.34,36.21,GOOD
S1374,Sahana,64.21,5.34,41.27,49.64,71.32,AVERAGE
S1375,Ananya,60.22,1.87,72.43,58.6,56.57,AVERAGE
S1376,Kavin,64.8,3.17,80.57,80.68,61.86,GOOD
S1377,Kishore,93.79,2.22,67.36,94.12,54.7,GOOD
S1378,Naveen,64.57,1.71,95.69,43.54,5.58,AVERAGE
S1379,Isha,73.14,2.94,94.12,92.23,47.42,GOOD
S1380,Aarav,85.29,3.68,48.34,53.22,5.13,AVERAGE
S1381,Varsha,93.6,3.01,44.8,91.65,16.85,AVERAGE
S1382,Vasanth,82.93,2.66,58.74,93.35,47.56,AVERAGE
S1383,Harish,87.66,2.64,76.49,86.53,40.62,GOOD
S1384,Abhinav,58.67,1.81,76.1,95.43,4.79,AVERAGE
S1385,Aryan,93.87,2.11,56.3,97.67,13.72,AVERAGE
S1386,Akshara,63.79,3.65,97.07,95.51,46.53,GOOD
S1387,Preethi,56.42,1.8,58.44,70.79,96.77,AVERAGE
S1388,Sanjana,98.81,5.15,88.25,67.82,48.64,GOOD
S1389,Bhavya,60.08,4.68,89.92,46.31,77.26,GOOD
S1390,Kishore,56.83,5.94,45.91,52.97,44.31,AVERAGE
S1391,Deepak,81.3,2.58,53.95,79.14,19.17,AVERAGE
